what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1335314660977
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1335314660977
java.version,sysinfo,,,"1.6.0_21",1335314660977
java.vm.info,sysinfo,,,"mixed mode, sharing",1335314660977
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1335314660977
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335314660977
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335314660977
java.vm.specification.version,sysinfo,,,"1.0",1335314660977
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1335314660977
java.vm.version,sysinfo,,,"17.0-b17",1335314660977
started,bundle,com.ti.ccstudio.buildDefinitions.MSP430_legacy,5.1.0.201106301400,"com.ti.ccstudio.buildDefinitions.MSP430_legacy",1335314661741
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1335314662006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"",1335314663207
started,bundle,com.ti.fnc,5.1.0.201106301400,"com.ti.fnc",1335314663395
started,bundle,com.ti.ccstudio.debug.ui.msp430,5.1.0.201106301400,"com.ti.ccstudio.debug.ui.msp430",1335314663644
started,bundle,com.ti.ccstudio.multi.purpose.view,5.1.0.201106301400,"com.ti.ccstudio.multi.purpose.view",1335314663644
started,bundle,com.ti.ccstudio.multi.purpose.view.contributors,5.1.0.201106301400,"com.ti.ccstudio.multi.purpose.view.contributors",1335314663691
started,bundle,com.ti.common.project.ui,5.1.0.201106301400,"com.ti.common.project.ui",1335314663785
started,bundle,com.ti.ccstudio.rhino,5.1.0.201106301400,"com.ti.ccstudio.rhino",1335314664081
started,bundle,com.ti.ccstudio.scripting.console,5.1.0.201106301400,"com.ti.ccstudio.scripting.console",1335314664081
started,bundle,com.ti.ccstudio.system.hotmenu,5.1.0.201106301400,"com.ti.ccstudio.system.hotmenu",1335314664081
started,bundle,org.eclipse.rtsc.xdctools.managedbuild.ui,2.1.0.201106301400,"org.eclipse.rtsc.xdctools.managedbuild.ui",1335314664674
started,bundle,org.eclipse.rtsc.xdctools.core,3.22.1.21,"org.eclipse.rtsc.xdctools.core",1335314665235
started,bundle,com.ti.ccstudio.lers,5.1.0.201106301400,"com.ti.ccstudio.lers",1335314665251
started,bundle,com.ti.ccstudio.scripting.dss,5.1.0.201106301400,"com.ti.ccstudio.scripting.dss",1335314665282
started,bundle,com.ti.ccstudio.scripting.gss,5.1.0.201106301400,"com.ti.ccstudio.scripting.gss",1335314666873
started,bundle,com.ti.dvt.scripting.ui,3.1.0.201106101153,"com.ti.dvt.scripting.ui",1335314666889
started,bundle,com.ti.ccstudio.scripting.ui,5.1.0.201106301400,"com.ti.ccstudio.scripting.ui",1335314667029
started,bundle,com.ti.dvt.ccstudioideadapter,3.1.0.201106101153,"com.ti.dvt.ccstudioideadapter",1335314667716
started,bundle,com.ti.dvt.ideadapter,3.1.0.201106101153,"com.ti.dvt.ideadapter",1335314668075
